Article,What does it conceptualize?,Usual modeling characteristics,Is it a statistically validated measure?,Scale Name,Parent Scale,Sub Scale,Scale / Item,Text of the item,"Is it reverse coded 
or transformed?",Does this item potentially contain identifying information?,Type of scale,Scoring,Type of data,Time Stem,Top-level question,Anchors/answers or mapping/representation (numeric),Anchors/answers or mapping/representation (nominal),Delivery mechanism,How frequently is it delivered?,Citation,Notes,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,item,difficulty in speaking when you are excited,0,0,multiple choice,factor analysis,ordinal,in the past seven days,How have you felt __?,1-9.,NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,item,trouble remembering things,0,0,multiple choice,factor analysis,ordinal,in the past seven days,How have you felt __?,1-9.,NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,item,worried about sloppiness or carelessness,0,0,multiple choice,factor analysis,ordinal,in the past seven days,How have you felt __?,1-9.,NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,item,feeling easily annoyed or irritated,0,0,multiple choice,factor analysis,ordinal,in the past seven days,How have you felt __?,1-9.,NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,item,pains in the heart or chest,0,0,multiple choice,factor analysis,ordinal,in the past seven days,How have you felt __?,1-9.,NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,item,itching,0,0,multiple choice,factor analysis,ordinal,in the past seven days,How have you felt __?,1-9.,NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,item,feeling low in energy or slowed down,0,0,multiple choice,factor analysis,ordinal,in the past seven days,How have you felt __?,1-9.,NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,item,thoughts of ending your life,0,0,multiple choice,factor analysis,ordinal,in the past seven days,How have you felt __?,1-9.,NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,item,sweating,0,0,multiple choice,factor analysis,ordinal,in the past seven days,How have you felt __?,1-9.,NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,item,trembling,0,0,multiple choice,factor analysis,ordinal,in the past seven days,How have you felt __?,1-9.,NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,item,feeling confused,0,0,multiple choice,factor analysis,ordinal,in the past seven days,How have you felt __?,1-9.,NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,item,poor appetite,0,0,multiple choice,factor analysis,ordinal,in the past seven days,How have you felt __?,1-9.,NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,item,crying easily,0,0,multiple choice,factor analysis,ordinal,in the past seven days,How have you felt __?,1-9.,NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,item,feekling shy or uneasy with the opposite sex,0,0,multiple choice,factor analysis,ordinal,in the past seven days,How have you felt __?,1-9.,NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,item,a feeling of being trapped or caught,0,0,multiple choice,factor analysis,ordinal,in the past seven days,How have you felt __?,1-9.,NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,item,suddenly scared for no reason,0,0,multiple choice,factor analysis,ordinal,in the past seven days,How have you felt __?,1-9.,NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,item,temper outbursts you could not control,0,0,multiple choice,factor analysis,ordinal,in the past seven days,How have you felt __?,1-9.,NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,item,constipation,0,0,multiple choice,factor analysis,ordinal,in the past seven days,How have you felt __?,1-9.,NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,item,blaming yourself for things,0,0,multiple choice,factor analysis,ordinal,in the past seven days,How have you felt __?,1-9.,NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,item,pains in the lower part of your back,0,0,multiple choice,factor analysis,ordinal,in the past seven days,How have you felt __?,1-9.,NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,item,feeling blocked or stymied in getting things done,0,0,multiple choice,factor analysis,ordinal,in the past seven days,How have you felt __?,1-9.,NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,item,feeling lonely,0,0,multiple choice,factor analysis,ordinal,in the past seven days,How have you felt __?,1-9.,NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,item,feeling blue,0,0,multiple choice,factor analysis,ordinal,in the past seven days,How have you felt __?,1-9.,NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,item,worrying or stewing about things,0,0,multiple choice,factor analysis,ordinal,in the past seven days,How have you felt __?,1-9.,NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,item,feeling no interest in things,0,0,multiple choice,factor analysis,ordinal,in the past seven days,How have you felt __?,1-9.,NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,item,feeling fearful,0,0,multiple choice,factor analysis,ordinal,in the past seven days,How have you felt __?,1-9.,NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,item,your feelings being easily hurt,0,0,multiple choice,factor analysis,ordinal,in the past seven days,How have you felt __?,1-9.,NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,item,having to ask others what you should do,0,0,multiple choice,factor analysis,ordinal,in the past seven days,How have you felt __?,1-9.,NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,item,feeling others do not understand you or are unsympathethic,0,0,multiple choice,factor analysis,ordinal,in the past seven days,How have you felt __?,1-9.,NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,item,feeling that people are unfriendly or dislike you,0,0,multiple choice,factor analysis,ordinal,in the past seven days,How have you felt __?,1-9.,NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,item,having to do things very slowly in order to be sure you are doing them right,0,0,multiple choice,factor analysis,ordinal,in the past seven days,How have you felt __?,1-9.,NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,item,heart pounding or racing,0,0,multiple choice,factor analysis,ordinal,in the past seven days,How have you felt __?,1-9.,NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,item,nausea or upset stomach,0,0,multiple choice,factor analysis,ordinal,in the past seven days,How have you felt __?,1-9.,NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,item,feeling inferior to others,0,0,multiple choice,factor analysis,ordinal,in the past seven days,How have you felt __?,1-9.,NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,item,soreness of your muscles,0,0,multiple choice,factor analysis,ordinal,in the past seven days,How have you felt __?,1-9.,NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,item,loose bowel movements,0,0,multiple choice,factor analysis,ordinal,in the past seven days,How have you felt __?,1-9.,NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,item,difficulty in falling asleep or staying asleep,0,0,multiple choice,factor analysis,ordinal,in the past seven days,How have you felt __?,1-9.,NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,item,having to check and double check what you do,0,0,multiple choice,factor analysis,ordinal,in the past seven days,How have you felt __?,1-9.,NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,item,difficulty making decisions,0,0,multiple choice,factor analysis,ordinal,in the past seven days,How have you felt __?,1-9.,NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,item,wanting to be alone,0,0,multiple choice,factor analysis,ordinal,in the past seven days,How have you felt __?,1-9.,NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,item,trouble getting your breath,0,0,multiple choice,factor analysis,ordinal,in the past seven days,How have you felt __?,1-9.,NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,item,hot or cold spells,0,0,multiple choice,factor analysis,ordinal,in the past seven days,How have you felt __?,1-9.,NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,item,having to avoid certain places or activities because they frighten you,0,0,multiple choice,factor analysis,ordinal,in the past seven days,How have you felt __?,1-9.,NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,item,your mind going blank,0,0,multiple choice,factor analysis,ordinal,in the past seven days,How have you felt __?,1-9.,NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,item,numbness or tingling in parts of your body,0,0,multiple choice,factor analysis,ordinal,in the past seven days,How have you felt __?,1-9.,NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,item,a lump in your throat,0,0,multiple choice,factor analysis,ordinal,in the past seven days,How have you felt __?,1-9.,NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,item,feeling hopeless about the future,0,0,multiple choice,factor analysis,ordinal,in the past seven days,How have you felt __?,1-9.,NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,item,trouble concentrating,0,0,multiple choice,factor analysis,ordinal,in the past seven days,How have you felt __?,1-9.,NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,item,weakness in parts of your body,0,0,multiple choice,factor analysis,ordinal,in the past seven days,How have you felt __?,1-9.,NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,item,feeling tense of keyed up,0,0,multiple choice,factor analysis,ordinal,in the past seven days,How have you felt __?,1-9.,NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,item,heavy feelings in your arms or legs,0,0,multiple choice,factor analysis,ordinal,in the past seven days,How have you felt __?,1-9.,NA,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Support, Mutual Aid and Recovery from Dual Diagnosis",The amount of social support that individuals in substance recovery have while going through recovery.,NA,0,Social Support Scale,NA,NA,Scale,,,,,,,,,,,Spoken,3 times over unidentified period of time,"Laudet, A.B., Magura, S., Vogel, H.S. et al. Support, Mutual Aid and Recovery from Dual Diagnosis. Community Ment Health J 36, 457–476 (2000). https://doi.org/10.1023/A:1001982829359",,
"Support, Mutual Aid and Recovery from Dual Diagnosis",,,,NA,,,Item,The people in my life are no help at all,NA,0,,factor analysis,nominal,NA,NA,,,,,,,
"Support, Mutual Aid and Recovery from Dual Diagnosis",,,,NA,,,,"I'm on my own in my recovery, I don't get any support",NA,0,,factor analysis,nominal,NA,NA,,,,,,,
"Support, Mutual Aid and Recovery from Dual Diagnosis",,,,NA,,,,The people in my life go out of their way to show me support,NA,0,,factor analysis,nominal,NA,NA,,,,,,,
"Support, Mutual Aid and Recovery from Dual Diagnosis",,,,NA,,,,No one in my life really understands me,NA,0,,factor analysis,nominal,NA,NA,,,,,,,
"Support, Mutual Aid and Recovery from Dual Diagnosis",,,,NA,,,,My friends and relatives don't bother with me much,NA,0,,factor analysis,nominal,NA,NA,,,,,,,
"Support, Mutual Aid and Recovery from Dual Diagnosis",,,,NA,,,,The people in my life understand that I am working on myself,NA,0,,factor analysis,nominal,NA,NA,,,,,,,
"Support, Mutual Aid and Recovery from Dual Diagnosis",,,,NA,,,,Service providers do not understand my recovery goals,NA,0,,factor analysis,nominal,NA,NA,,,,,,,
"Support, Mutual Aid and Recovery from Dual Diagnosis",,,,NA,,,,I get a lot of support from everyone I know,NA,0,,factor analysis,nominal,NA,NA,,,,,,,
"Support, Mutual Aid and Recovery from Dual Diagnosis",,,,NA,,,,Other DTR members are encouraging me in my recovery efforts,NA,0,,factor analysis,nominal,NA,NA,,,,,,,
"Support, Mutual Aid and Recovery from Dual Diagnosis",,,,NA,,,,Service providers are encouraging/supporting me,NA,0,,factor analysis,nominal,NA,NA,,,,,,,
"Support, Mutual Aid and Recovery from Dual Diagnosis",,,,NA,,,,Members at fellowships other than DTR are encouraging/supporting me,NA,0,,factor analysis,nominal,NA,NA,,,,,,,
"Support, Mutual Aid and Recovery from Dual Diagnosis",,,,NA,,,,My roommates/housemates are encouraging/supporting me,NA,0,,factor analysis,nominal,NA,NA,,,,,,,
"Support, Mutual Aid and Recovery from Dual Diagnosis",,,,NA,,,,My friends are encouraging/supporting me,NA,0,,factor analysis,nominal,NA,NA,,,,,,,
"Support, Mutual Aid and Recovery from Dual Diagnosis",,,,NA,,,,My relatives are encouraging/supporting me,NA,0,,factor analysis,nominal,NA,NA,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Support, Mutual Aid and Recovery from Dual Diagnosis",If the individual is in a realtionship.,NA,0,Steady Partner Support,,,,"Are you currently in a steady relationship and if so with whom? (If more than one steady partner, answer about the one with whom you spend the most time).",NA,0,multiple choice,factor analysis,categorical,Are you currently _,NA,NA,Legal spouse/common law-marriage; steady male partner; steady female partner; no steady partner,Spoken,3 times over unidentified period of time,"Laudet, A.B., Magura, S., Vogel, H.S. et al. Support, Mutual Aid and Recovery from Dual Diagnosis. Community Ment Health J 36, 457–476 (2000). https://doi.org/10.1023/A:1001982829359",,
,,,,,,,,,,,,,,,,,,,,,,
"Support, Mutual Aid and Recovery from Dual Diagnosis","""the affirmation of life in a relationship with God, self, community, and environment that nurtures and celebrates wholeness.""",NA,1,Spiritual Well-Being Scale,NA,"religious well-being, exisential well-being",Scale,,,,,,,,,,,spoken,3 times over unidentified period of time,"Ellison, C. W. (1983). Spiritual Well-Being: Conceptualization and Measurement. Journal of Psychology and Theology, 11(4), 330-338. https://doi.org/10.1177/009164718301100406 (Original work published 1983)",,
"Support, Mutual Aid and Recovery from Dual Diagnosis",,,,Religious Well-Being,Spiritual Well-Being Scale,NA,,,,,,,,,,,,,,,,
"Support, Mutual Aid and Recovery from Dual Diagnosis",,,,Exisitential Well-Being,Spiritual Well-Being Scale,NA,,,,,,,,,,,,,,,,
"Support, Mutual Aid and Recovery from Dual Diagnosis",,,,NA,,,Item,I don't find much satification in private prayer with God.,1,,multiple choice,factor analysis,ordinal,NA,NA,1-4.,"1 = strongly disagree, 2 = disagree, 3 = agree, 4 = strongly agree",,,,,
"Support, Mutual Aid and Recovery from Dual Diagnosis",,,,NA,,,Item,"I don't know who I am, where I came from, or where I'm going.",1,,multiple choice,factor analysis,ordinal,NA,NA,1-4.,"2 = strongly disagree, 2 = disagree, 3 = agree, 4 = strongly agree",,,,,
"Support, Mutual Aid and Recovery from Dual Diagnosis",,,,NA,,,Item,I believe that God loves me and cares about me.,0,,multiple choice,factor analysis,ordinal,NA,NA,1-4.,"3 = strongly disagree, 2 = disagree, 3 = agree, 4 = strongly agree",,,,,
"Support, Mutual Aid and Recovery from Dual Diagnosis",,,,NA,,,Item,I feel that life is a positive experience.,0,,multiple choice,factor analysis,ordinal,NA,NA,1-4.,"4 = strongly disagree, 2 = disagree, 3 = agree, 4 = strongly agree",,,,,
"Support, Mutual Aid and Recovery from Dual Diagnosis",,,,NA,,,Item,I believe that God is impersonal and not interested in my daily situations.,1,,multiple choice,factor analysis,ordinal,NA,NA,1-4.,"5 = strongly disagree, 2 = disagree, 3 = agree, 4 = strongly agree",,,,,
"Support, Mutual Aid and Recovery from Dual Diagnosis",,,,NA,,,Item,I feel unsettled about my future.,1,,multiple choice,factor analysis,ordinal,NA,NA,1-4.,"6 = strongly disagree, 2 = disagree, 3 = agree, 4 = strongly agree",,,,,
"Support, Mutual Aid and Recovery from Dual Diagnosis",,,,NA,,,Item,I have a personally meaningful relationship with God.,0,,multiple choice,factor analysis,ordinal,NA,NA,1-4.,"7 = strongly disagree, 2 = disagree, 3 = agree, 4 = strongly agree",,,,,
"Support, Mutual Aid and Recovery from Dual Diagnosis",,,,NA,,,Item,I feel very fulfilled and satisfied with life.,0,,multiple choice,factor analysis,ordinal,NA,NA,1-4.,"8 = strongly disagree, 2 = disagree, 3 = agree, 4 = strongly agree",,,,,
"Support, Mutual Aid and Recovery from Dual Diagnosis",,,,NA,,,Item,I don't get much personal strength and support from my God.,1,,multiple choice,factor analysis,ordinal,NA,NA,1-4.,"9 = strongly disagree, 2 = disagree, 3 = agree, 4 = strongly agree",,,,,
"Support, Mutual Aid and Recovery from Dual Diagnosis",,,,NA,,,Item,I feel a sense of well-being about the direction my life is headed in.,0,,multiple choice,factor analysis,ordinal,NA,NA,1-4.,"10 = strongly disagree, 2 = disagree, 3 = agree, 4 = strongly agree",,,,,
"Support, Mutual Aid and Recovery from Dual Diagnosis",,,,NA,,,Item,I believe that God is concerned about my problems.,0,,multiple choice,factor analysis,ordinal,NA,NA,1-4.,"11 = strongly disagree, 2 = disagree, 3 = agree, 4 = strongly agree",,,,,
"Support, Mutual Aid and Recovery from Dual Diagnosis",,,,NA,,,Item,I don't enjoy much about life.,1,,multiple choice,factor analysis,ordinal,NA,NA,1-4.,"12 = strongly disagree, 2 = disagree, 3 = agree, 4 = strongly agree",,,,,
"Support, Mutual Aid and Recovery from Dual Diagnosis",,,,NA,,,Item,I don't have a personally satisfying relationship with God.,1,,multiple choice,factor analysis,ordinal,NA,NA,1-4.,"13 = strongly disagree, 2 = disagree, 3 = agree, 4 = strongly agree",,,,,
"Support, Mutual Aid and Recovery from Dual Diagnosis",,,,NA,,,Item,I feel good about my future.,0,,multiple choice,factor analysis,ordinal,NA,NA,1-4.,"14 = strongly disagree, 2 = disagree, 3 = agree, 4 = strongly agree",,,,,
"Support, Mutual Aid and Recovery from Dual Diagnosis",,,,NA,,,Item,My relationship with God helps me not to feel lonely.,0,,multiple choice,factor analysis,ordinal,NA,NA,1-4.,"15 = strongly disagree, 2 = disagree, 3 = agree, 4 = strongly agree",,,,,
"Support, Mutual Aid and Recovery from Dual Diagnosis",,,,NA,,,Item,I feel that life is full of conflict and unhappiness.,1,,multiple choice,factor analysis,ordinal,NA,NA,1-4.,"16 = strongly disagree, 2 = disagree, 3 = agree, 4 = strongly agree",,,,,
"Support, Mutual Aid and Recovery from Dual Diagnosis",,,,NA,,,Item,I feel most fulfilled when I'm in close communion with God.,0,,multiple choice,factor analysis,ordinal,NA,NA,1-4.,"17 = strongly disagree, 2 = disagree, 3 = agree, 4 = strongly agree",,,,,
"Support, Mutual Aid and Recovery from Dual Diagnosis",,,,NA,,,Item,Life doesn't have much meaning.,1,,multiple choice,factor analysis,ordinal,NA,NA,1-4.,"18 = strongly disagree, 2 = disagree, 3 = agree, 4 = strongly agree",,,,,
"Support, Mutual Aid and Recovery from Dual Diagnosis",,,,NA,,,Item,My relation with God contributes to my sense of well-being.,0,,multiple choice,factor analysis,ordinal,NA,NA,1-4.,"19 = strongly disagree, 2 = disagree, 3 = agree, 4 = strongly agree",,,,,
"Support, Mutual Aid and Recovery from Dual Diagnosis",,,,NA,,,Item,I believe there is some real purpose for my life.,0,,multiple choice,factor analysis,ordinal,NA,NA,1-4.,"20 = strongly disagree, 2 = disagree, 3 = agree, 4 = strongly agree",,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Support, Mutual Aid and Recovery from Dual Diagnosis",Attendance in DTR meetings,NA,0,DTR participation,NA,NA,Scale,,,,,,,,,,,Spoken,3 times over unidentified period of time,"Laudet, A.B., Magura, S., Vogel, H.S. et al. Support, Mutual Aid and Recovery from Dual Diagnosis. Community Ment Health J 36, 457–476 (2000). https://doi.org/10.1023/A:1001982829359",,
"Support, Mutual Aid and Recovery from Dual Diagnosis",,,,NA,,,Item,When did you first attend A DTR meeting?,NA,0,multiple choice,factor analysis,categorical,NA,NA,NA,one to three months ago; 4-6 months ago; 7 months to 1 year ago; 1 to 2 years ago; 2 to 3 years ago; 3 to 5 years ago; over five years ago,,,,,
"Support, Mutual Aid and Recovery from Dual Diagnosis",,,,NA,,,Item,How often are you currently attending DTR?,NA,0,multiple choice,factor analysis,categorical,NA,NA,NA,"Less than once a month, once a month, every other week, 2-5 times a week, 6-7 times a week",,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Support, Mutual Aid and Recovery from Dual Diagnosis",Attendance in 12 step programs other than DTR,NA,0,Attendance at a 12-step fellowship other than DTR?,NA,NA,Scale,,,,,,,,,,,Spoken,3 times over unidentified period of time,"Laudet, A.B., Magura, S., Vogel, H.S. et al. Support, Mutual Aid and Recovery from Dual Diagnosis. Community Ment Health J 36, 457–476 (2000). https://doi.org/10.1023/A:1001982829359",,
"Support, Mutual Aid and Recovery from Dual Diagnosis",,,,NA,,,Item,"Do you regularly attend meetings at a fellowship or self-help group (such as AA, NA) other than DTR?",NA,0,multiple select,factor analysis,categorical,NA,NA,NA,"Alcoholics Anonymous, Narcotics Anonymous, Cocaine Anonymous, Al-Anon, Sex Anonymous, Emotions Anonymous, Codependence Anonymous, Gamblers Anonymous, Overeaters Anonymous, Recoveries Anonymous, Other Anonymouse (specify)",,,,,
"Support, Mutual Aid and Recovery from Dual Diagnosis",,,,NA,,,Item,How often do you usually share at meetings?,NA,0,multiple choice,factor analysis,categorical,NA,NA,NA,"Never, rarely, sometimes, often, always",,,,,
"Support, Mutual Aid and Recovery from Dual Diagnosis",,,,NA,,,Item,Do you have a sponsor at (each fellowship attended).,NA,0,multiple choice,factor analysis,nominal,NA,NA,NA,Yes/no,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Support, Mutual Aid and Recovery from Dual Diagnosis",mental health symptoms of the past year.,NA,0,Mental Health,NA,NA,Scale,,,,,,,,,,,Spoken,3 times over unidentified period of time,"Laudet, A.B., Magura, S., Vogel, H.S. et al. Support, Mutual Aid and Recovery from Dual Diagnosis. Community Ment Health J 36, 457–476 (2000). https://doi.org/10.1023/A:1001982829359",,
"Support, Mutual Aid and Recovery from Dual Diagnosis",,,,NA,,,Item,"In the past year, have you felt nervous?",NA,0,multiple choice,factor analysis,Ordinal,In the past year __,Have you felt __?,"1-5 (1: not at all, 2: somewhat, 3: moderately, 4: very)",NA,,,,,
"Support, Mutual Aid and Recovery from Dual Diagnosis",,,,NA,,,,"In the past year, have you felt tense?",NA,0,multiple choice,factor analysis,Ordinal,In the past year __,Have you felt __?,"1-5 (1: not at all, 2: somewhat, 3: moderately, 4: very)",NA,,,,,
"Support, Mutual Aid and Recovery from Dual Diagnosis",,,,NA,,,,"In the past year, have you felt worried, frustrated or afriad?",NA,0,multiple choice,factor analysis,Ordinal,In the past year __,Have you felt __?,"1-5 (1: not at all, 2: somewhat, 3: moderately, 4: very)",NA,,,,,
"Support, Mutual Aid and Recovery from Dual Diagnosis",,,,NA,,,,"In the past year, have you heard voices?",NA,0,multiple choice,factor analysis,Ordinal,In the past year __,Have you felt __?,"1-5 (1: not at all, 2: somewhat, 3: moderately, 4: very)",NA,,,,,
"Support, Mutual Aid and Recovery from Dual Diagnosis",,,,NA,,,,"In the past year, have you heard or saw things that other people don't think are there?",NA,0,multiple choice,factor analysis,Ordinal,In the past year __,Have you felt __?,"1-5 (1: not at all, 2: somewhat, 3: moderately, 4: very)",NA,,,,,
"Support, Mutual Aid and Recovery from Dual Diagnosis",,,,NA,,,,"In the past year, have you felt like seriously hurting someone else?",NA,0,multiple choice,factor analysis,Ordinal,In the past year __,Have you felt __?,"1-5 (1: not at all, 2: somewhat, 3: moderately, 4: very)",NA,,,,,
"Support, Mutual Aid and Recovery from Dual Diagnosis",,,,NA,,,,"Overall, how troubled, have you been by mental health or emotional problems in the past month (30 days)?",NA,0,multiple choice,factor analysis,Ordinal,NA,Have you felt __?,"1-5 (1: not at all, 2: somewhat, 3: moderately, 4: very)",NA,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Support, Mutual Aid and Recovery from Dual Diagnosis",Which drugs and how many times they were used in the last 30 days.,NA,0,substance use,NA,NA,Scale,,,,,,,,,,,Spoken,3 times over unidentified period of time,"Laudet, A.B., Magura, S., Vogel, H.S. et al. Support, Mutual Aid and Recovery from Dual Diagnosis. Community Ment Health J 36, 457–476 (2000). https://doi.org/10.1023/A:1001982829359",,
"Support, Mutual Aid and Recovery from Dual Diagnosis",,,,NA,,,Item,"In the past year, did you use (name of drug)?",NA,0,multiple choice,factor analysis,nominal,In the past year __,Did you use __?,NA,yes/no,,,,,
"Support, Mutual Aid and Recovery from Dual Diagnosis",,,,NA,,,Item,"[For drugs used past year] In the last 30 days, how many times did you use (name of drug)?",NA,0,multiple choice,factor analysis,nominal,In the last 30 days__,Did you use __?,answering with a number of how many times drug was used,NA,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Support, Mutual Aid and Recovery from Dual Diagnosis",How satisfied and content a person feels with various aspects of daily life.,NA,1,Quality of Life Enjoyment and Satisfaction Questionnaire (long form),NA,"Physical Health, Feelings (Personal Feelings of Well-Being), Work, Household Duties, School/Course Work, Leisure Time Activities, Social Relations, General Activities",Scale,,,,,,,,,,,Spoken,3 times over unidentified period of time,"Endicott J, Nee J, Harrison W, Blumenthal R. Quality of Life Enjoyment and Satisfaction Questionnaire: a new measure. Psychopharmacol Bull. 1993;29(2):321-6. PMID: 8290681.",,
"Support, Mutual Aid and Recovery from Dual Diagnosis",,,,Physical Health,Quality of Life Enjoyment and Satisfaction Questionnaire (long form),NA,,,,,,,,,,,,,,,,
"Support, Mutual Aid and Recovery from Dual Diagnosis",,,,Feelings,Quality of Life Enjoyment and Satisfaction Questionnaire (long form),NA,,,,,,,,,,,,,,,,
"Support, Mutual Aid and Recovery from Dual Diagnosis",,,,Work,Quality of Life Enjoyment and Satisfaction Questionnaire (long form),NA,,,,,,,,,,,,,,,,
"Support, Mutual Aid and Recovery from Dual Diagnosis",,,,Household Duties,Quality of Life Enjoyment and Satisfaction Questionnaire (long form),NA,,,,,,,,,,,,,,,,
"Support, Mutual Aid and Recovery from Dual Diagnosis",,,,School/Course Work,Quality of Life Enjoyment and Satisfaction Questionnaire (long form),NA,,,,,,,,,,,,,,,,
"Support, Mutual Aid and Recovery from Dual Diagnosis",,,,Leisure Time Activities,Quality of Life Enjoyment and Satisfaction Questionnaire (long form),NA,,,,,,,,,,,,,,,,
"Support, Mutual Aid and Recovery from Dual Diagnosis",,,,Social Relations,Quality of Life Enjoyment and Satisfaction Questionnaire (long form),NA,,,,,,,,,,,,,,,,
